"filename", "language", "Makefile", "Shell Script", "C++", "Markdown", "comment", "blank", "total"
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/include/param_struct_define.h", "C++", 0, 0, 22, 0, 55, 11, 88
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/Energy.cpp", "C++", 0, 0, 24, 0, 26, 11, 61
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyClear.cpp", "C++", 0, 0, 6, 0, 11, 8, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyFinder.cpp", "C++", 0, 0, 46, 0, 12, 11, 69
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyMain.cpp", "C++", 0, 0, 10, 0, 0, 3, 13
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyRun.cpp", "C++", 0, 0, 9, 0, 9, 7, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/JudgeContour.cpp", "C++", 0, 0, 30, 0, 20, 6, 56
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/ShowEnergyArmors.cpp", "C++", 0, 0, 88, 0, 40, 18, 146
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/Structing.cpp", "C++", 0, 0, 15, 0, 6, 4, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Kalman/include/kalmanfilter.h", "C++", 0, 0, 8, 0, 3, 4, 15
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Kalman/src/kalmanfilter.cpp", "C++", 0, 0, 18, 0, 15, 6, 39
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Number/include/GetFeature.h", "C++", 0, 0, 13, 0, 3, 4, 20
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Number/src/GetFeature.cpp", "C++", 0, 0, 164, 0, 39, 12, 215
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/include/Preprocess.h", "C++", 0, 0, 16, 0, 1, 5, 22
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/src/Preprocess.cpp", "C++", 0, 0, 61, 0, 20, 10, 91
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/src/kalman.cpp", "C++", 0, 0, 53, 0, 5, 11, 69
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/include/log.h", "C++", 0, 0, 33, 0, 10, 6, 49
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/include/options.h", "C++", 0, 0, 22, 0, 3, 7, 32
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/src/options.cpp", "C++", 0, 0, 133, 0, 4, 4, 141
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Makefile", "Makefile", 37, 0, 0, 0, 20, 19, 76
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/README.md", "Markdown", 0, 0, 0, 2, 0, 1, 3
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/autorun.sh", "Shell Script", 0, 6, 0, 0, 7, 3, 16
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/config.h", "C++", 0, 0, 1, 0, 0, 1, 2
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/constants.h", "C++", 0, 0, 14, 0, 3, 8, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/main.cpp", "C++", 0, 0, 100, 0, 28, 16, 144
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/main.h", "C++", 0, 0, 26, 0, 4, 5, 35
"Total", "-", 94, 6, 2842, 2, 2146, 918, 6008
